"Id";"Id_material";"Material_desc";"Material_type";"Uom";"Family";"is_active";"Crtdt";"Crtby";"Upddt";"Updby"
"2006";"616149";"ALT. U-ENG 12V 90A TG9  V/SERVICE";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2007";"616134";"ALT. THETA OAP60 AMS V. 600700. TG11";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2008";"616129";"ALT. BOBCAT K26 EXCAVATOR SG7K V/S";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2009";"A0002618962";"ALT. DOOSAN G2 F/LIFT. 00085";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2010";"616125";"ALT. BOBCAT VALEO SERVICE.SG7K";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2011";"A0002655517VS";"ALT. SA VALEO SERVICE 13.5V 70A SG7K";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2012";"1212347";"SCREW M/SWITCH. ZnNi";"COMP";"PC";" ";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2013";"TM975C05020";"NAME PLATE.LZ";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2014";"TM975C05042";"N/PLATE.RETONA(ARMY)";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2015";"600219";"NAME PLATE 1 TON V/SERVICE";"COMP";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2016";"A509430";"YOKE-B/HOLDER ASS'Y.G-ENG TY FS80";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2017";"TM975C05055";"NAME PLATE GALLOPER 22KW";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2018";"B8702618983";"NAME PLATE.BOBCAT V2607";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2019";"TM975C05056";"NAME PLATE.DAEDONG(8HP) BS NEW";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2020";"616146";"ALT. TG DELTA D62 13.5V 110A.V/SERVI";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2021";"A0002656078VS";"ALT. M1G 13.5V 120A TG12+ V/SERVICE";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2022";"616404";"S/T. 1TON V/SERVICE";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2023";"616475";"S/T. SIRIUS-2 AT VALEO SERVICE. TS14K";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2024";"B8702625700";"NAME PLATE.KAPPA 4CYL AMS-D SG8K";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2025";"616419";"S/T. 3TON(F/LIFT) NEW 41C20 V/S";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2026";"G0002610999";"COMPLETE F/HOUSING.KAPPA 3CYL AMS TG9";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2027";"TM975C05073";"NAME PLATE.LC M/T (PMC109S)";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2028";"616428";"S/T. 3C100A V/S. 63011. 1.7kW TS18K";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2029";"TM975C05079";"NAME PLATE A-ENG O/H";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2030";"3EM0812Q";"SPLINE ASS'Y QUE.D-3";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2031";"G2002610130";"F/BRACKET ASS'Y.GAMMA ISG";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2032";"616482";"S/T. MD GAMMA V/S.CED4. 600718. TS9K";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2033";"616157";"ALT. THETA VALEO SERVICE. 25201. TG11";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2034";"A0002655544VS";"ALT. THETA VALEO SERVICE. 25201. TG11";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2035";"A0002622438VS";"ALT. KAPPA 3CYL HA NEW TG9 04055";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2036";"616401";"S/T. X-100. FS18 V/S";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2037";"TM975C05096";"NAME PLATE.D-ENG SLOVAKIA";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2038";"TM975C05097";"NAME PLATE.S-ENG";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2039";"A0002613777";"ALT. SA AMS 80A. 13.5V 80A SG7K";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2040";"A0002655302";"ALT. BOBCAT SG7K. 6678560";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2041";"TM975C05101";"NAME PLATE.TS20K";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2042";"TM975C05102";"NAME PLATE.TS20K EURO";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2043";"2EM0713";"F/BKT ASS'Y.Y-2 30L";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2044";"3EM0588";"ORC ASS'Y.15TON";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2045";"B8102616565";"COVER ASS'Y. GAMMA AMS-D SOLID TG11";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2046";"A0002625696VS";"ALT. KAPPA 4CYL AMS-D SG8KV/SERVICE";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2047";"A000V655010";"ALT. TG DELTA D62 13.5V 110A.V/SERVI";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2048";"TM975C05103";"NAME PLATE.Y-200";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2049";"TM975C05304";"NAME PLATE.TS24K";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2050";"TM975C05305";"NAME PLATE.EURO(TS24K)";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2051";"TM975C05311";"NEME PLATE TQ (A-ENG)";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2052";"B8702612675";"NAME PLATE.BOBCAT 8G";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2053";"TM975C05317";"NAME PLATE.TQ(4D56 EURO TS20K)";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2054";"A0002616741";"ALT. GAMMA AMS-D TG9. 2B510. 90A. TG";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2055";"A0002655103";"ALT. U-ENG 12V 90A TG9";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2056";"A0002656193";"ALT. KAPPA 3CYL. 13.5V 70A. SG8K, 04";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2057";"A0002619299";"ALT. KAPPA 3CYL NEW AMS-D OAP. 04635,TG";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2058";"L0052607575";"FREE PULLEY.THETA OAP55";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2059";"L0002611761";"PULLEY.KAPPA 3CYL AMS.SPHC6.0t.PCD58 5GR";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2060";"G5202549848";"RESIN AB.TG11";"SFIN";"KG";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2061";"K807036";"CARTON BOX,1170*770*620,????,V/SERVICE";"PACK";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2062";"TS036C00201";"SCREW SET(SP).L-ENGINE(ARMY)";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2063";"G0002609497";"COMPLETE F/HOUSING.KAPPA 4CYL AMS OAD";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2064";"N0002608417";"REGULATOR ASS'Y. U-ENG CPLE";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2065";"N0002620798";"REGULATOR ASS'Y.M1G TG12+";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2066";"G2002655160";"F/BRACKET ASS'Y.DELTA TG11";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2067";"K309830";"INSULATION TUBE. D3.0 YELLOW SPT 2608761";"COMP";"M";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2068";"K800369";"VINYL COVER-D.1140*970*1100H";"PACK";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2069";"G0002655489PA";"COMPLETE F/HOUSING.U-ENG AS.TG12";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2070";"L0002608453";"PULLEY.BOBCAT FRANCE 8G.SG9K";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2071";"M64961AS";"S/T. 3TON(CS) MEISTER. 41012";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
